Provincia;Municipio;;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Precio gasolina 95 E25;Precio gasolina 95 E85;Precio AdBlue;Precio diesel renovable;Precio gasolina renovable	;Precio metanol	;Precio  amoniaco	;Precio BGNC	;Precio BGNL;Rótulo;Tipo venta;Rem.;Horario;;;
HUELVA;PUNTA UMBRÍA;;PUNTA UMBRIA;21100;MUELLE DEPORTIVO PUNTA UMBRIA, S/N - AVDA. LA RIA, S/N;-6,959417;37,181750;1,595;;1,585;;;;;;;;;;;;CEPSA;Suministro a barcos deportivos o de recreo;OM;L-V: 09:30-13:00 y 15:00-17:30; S: 09:30-13:00;;;
LUGO;BURELA;;BURELA;27880;MUELLE PESQUERO, S/Nº;-7,254818;43,660537;;;;629,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
LUGO;RIBADEO;;RIBADEO;27700;MUELLE PESQUERO, S/Nº;-7,038707;43,532759;;;;718,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
LUGO;VIVEIRO;;CELEIRO;27863;MUELLE PESQUERO, S/Nº;-7,595929;43,676370;;;;653,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
MÁLAGA;FUENGIROLA;;FUENGIROLA;29640;PUERTO PESQUERO-DEPORTIVO;-4,615750;36,542333;1,781;;1,736;717,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
MÁLAGA;MANILVA;;MANILVA;29691;PUERTO DEPORTIVO DE LA DUQUESA;;;1,832;;1,787;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
MÁLAGA;MARBELLA;;MARBELLA;29600;PUERTO DEPORTIVO MARBELLA;-4,889944;36,505833;1,649;;1,579;;;;;;;;;;;;ENERPUS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
MÁLAGA;VÉLEZ-MÁLAGA;;CALETA DE VELEZ;29751;PUERTO PESQUERO,S/Nº;-4,069361;36,747611;1,759;;1,724;707,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
MURCIA;ÁGUILAS;;AGUILAS;30880;MUELLE PESQUERO, S/N;-1,578720;37,402935;;;;702,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
MURCIA;CARTAGENA;;CARTAGENA;30202;MUELLE STA. LUCÍA, S/Nº;-0,975942;37,597657;;;;702,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
